"id","jobID","descript"
"1","1","MEMBRII AI CORPULUI LEGISLATIV AI EXECUTIVULUI, INALTI CONDUCATORI AI ADMINISTRATIEI PUBLICE, CONDUC"
"2","11","LEGISLATORI, MEMBRII AI EXECUTIVULUI SI INALTI CONDUCATORI AI ADMINISTRATIEI PUBLICE"
"3","111","LEGISLATORI, MEMBRII AI EXECUTIVULUI SI INALTI CONDUCATORI AI  ADMINISTRATIEI PUBLICE"
"4","1110","Legislatori, membrii ai executivului si inalti conducatori ai administratiei publice"
"5","111001","Adjunct al procurorului general"
"6","111002","Ambasador"
"7","111003","Chestor parlament"
"8","111004","Comandant unic aviatie"
"9","111005","Comisar general"
"10","111006","Comisar general adjunct"
"11","111007","Consilier diplomatic"
"12","111008","Consilier guvernamental"
"13","111009","Consilier si consultant juridic"
"14","111010","Consilier institutii publice"
"15","111011","Consilier al ministrului"
"16","111012","Consul general"
"17","111013","Consultant prezidential si guvernamental"
"18","111014","Senator"
"19","111015","Director institutie publica si asimilati"
"20","111016","Director adjunct institutie publica si asimilati"
"21","111017","Director cabinet"
"22","111018","Director general institutie publica"
"23","111019","Consilier economic"
"24","111020","Grefier sef (judecatorie, parchet)"
"25","111021","Grefier sef de sectie(Curte de apel, tribunal, parchete)"
"26","111022","Guvernator"
"27","111023","Inspector de stat sef"
"28","111024","Inspector sef in administratia publica"
"29","111025","Magistrat asistent sef"
"30","111026","Ministru si asimilati"
"31","111027","Ministru consilier"
"32","111028","Ministru de stat"
"33","111029","Ministru plenipotentiar"
"34","111030","Notar sef"
"35","111031","Notar sef adjunct"
"36","111032","Prefect"
"37","111033","Presedinte academie"
"38","111034","Presedinte Curtea suprema de justitie"
"39","111035","Presedinte Curte de apel"
"40","111036","Presedinte Curte de conturi"
"41","111037","Presedinte judecatorie"
"42","111038","Presedinte parlament"
"43","111039","Presedinte de sectie(la Curtea suprema de justitie,Curtea de apel,tribunal)"
"44","111040","Presedinte tribunal"
"45","111041","Presedintele Romaniei"
"46","111042","Prim grefier(Curte de apel, tribunal,parchet)"
"47","111043","Prim procuror"
"48","111044","Prim procuror adjunct"
"49","111045","Prim adjunct al procurorului general"
"50","111046","Prim ministru"
"51","111047","Primar"
"52","111048","Procuror general"
"53","111049","Procuror sef sectie"
"54","111050","Procuror sef sectie adjunct"
"55","111051","Secretar general"
"56","111052","Secretar general al guvernului"
"57","111053","Secretar parlament"
"58","111054","Secretar de stat si asimilati"
"59","111055","Secretar general academie"
"60","111056","Secretar sef notariat"
"61","111057","Secretar primarie, prefectura, procuratura"
"62","111058","Sef laborator criminalistica"
"63","111059","Sef birou institutie publica"
"64","111060","Sef cabinet"
"65","111061","Sef birou senatorial"
"66","111062","Sef departament"
"67","111063","Sef protocol de stat"
"68","111064","Sef serviciu institutie publica"
"69","111065","Subprefect"
"70","111066","Viceguvernator"
"71","111067","Viceprimar"
"72","111068","Deputat"
"73","111069","Vicepresedinte(Curtea suprema de justitie,Curtea de apel,tribunal, judecatorie)"
"74","111070","Consilier prezidential"
"75","111071","Consilier parlamentar"
"76","114","PRESEDINTI SI ALTI FUNCTIONARI SUPERIORI DIN ORGANIZATII POLITICE, PROFESIONALE, PATRONALE, SINDICAL"
"77","1141","Conducatori si alti functionari superiori din organizatiile  politice"
"78","114101","Consilier organizatie politica"
"79","114102","Presedinte organizatie politica"
"80","114103","Vicepresedinte organizatie politica"
"81","114104","Secretar organizatie politica"
"82","1142","Conducatori si alti functionari superiori din organizatiile profesionale, patronale, sindicale si al"
"83","114201","Conducator de asociatii, filiale si organizatii obstesti"
"84","114202","Loctiitor al conducatorului de asociatii, filiale organizatii obstesti"
"85","114203","Secretar si secretar adjunct ai asociatiilor,filialelor si organizatiilor obstesti"
"86","114204","Presedinte organizatie sindicala"
"87","114205","Vicepresedinte organizatie sindicala"
"88","114206","Secretar organizatie sindicala"
"89","1143","Conducatori si alti functionari superiori din organizatiile umanitare si alte organizatii similare ("
"90","114301","Conducator de organizatii umanitare si asimilati"
"91","114302","Secretar al organizatiilor umanitare si asimilati"
"92","12","CONDUCATORI DE UNITATI ECONOMICO-SOCIALE MARI (CORPORATII)"
"93","121","DIRECTORI GENERALI, DIRECTORI DIN UNITATI ECONOMICO-SOCIALE  MARI SI ASIMILATI"
"94","1210","Directori generali, directori si asimilati"
"95","121001","Comandant si comandant adjunct aviatie"
"96","121002","Comandant port flota"
"97","121003","Decan"
"98","121003","Prodecan"
"99","121003","Prorector"
"100","121003","Rector"
"101","121004","Director societate comerciala"
"102","121005","Director adjunct societate comerciala"
"103","121006","Inspector general scolar"
"104","121007","Director stiintific cercetare-dezvoltare si asimilati"
"105","121008","Inspector sanitar sef"
"106","121009","Medic (farmacist) director si asimilati"
"107","121010","Medic (farmacist) director adjunct"
"108","121011","Director general societate comerciala"
"109","121012","Director general adjunct societate comerciala"
"110","121013","Director de program"
"111","121014","Director general regie autonoma"
"112","121015","Director general adjunct regie autonoma"
"113","122","CONDUCATORI DE COMPARTIMENTE (SECTIE, SERVICIU,BIROU,LABORATOR ETC.) CU ACTIVITATI DE PRODUCTIE SI S"
"114","1221","Conducatori in agricultura, silvicultura, vanatoare  piscicultura, pescuit si protectia mediului"
"115","122101","Hidrometeorolog sef"
"116","122102","Inginer sef agricultura, silvicultura, vinatoare, piscicultura, pescuit"
"117","122103","Inspector general vinatoare"
"118","122104","Medic veterinar sef"
"119","122105","Sef centru protectia plantelor si mediului"
"120","122106","Sef centru reproductie si selectia animalelor"
"121","122107","Sef district, centru, ocol silvic"
"122","122108","Sef circumscriptie sanitar-veterinar si control alalimentelor"
"123","122109","Sef complex zootehnic"
"124","122110","Sef fazanerie"
"125","122111","Sef ferma agricola (agrozootehnica)"
"126","122112","Sef laborator analize pedologice si asimilati"
"127","122113","Sef oficiu cadastru"
"128","122114","Sef parchet"
"129","122115","Sef pastravarie"
"130","122116","Sef pepiniera silvicola, pomicola, viticola"
"131","122117","Sef statie hidrologica, meteorologica si incubatie"
"132","122118","Sef statie productie, exploatare, intretinere in agricultura"
"133","122119","Sef statie vinificatie"
"134","122120","Sef statie lucrari de irigatie si ameliorare a solului"
"135","122121","Inspector veterinar sef"
"136","122122","Sef sectie mecanizare"
"137","1222","Conducatori in industria extractiva si prelucratoare"
"138","122201","Inginer sef exploatare nucleara"
"139","122202","Inginer sef industria extractiva si prelucratoare"
"140","122203","Inginer sef radioprotectie"
"141","122204","Inspector sef conservarea energiei"
"142","122205","Sef atelier industria extractiva si prelucratoare"
"143","122206","Sef sector industria extractiva si prelucratoare"
"144","122207","Sef centru prelucrare"
"145","122208","Sef laborator control tehnic de calitate a combustibiluluinuclear"
"146","122209","Sef unitati miniere si asimilate"
"147","122210","Sef brigada exploatare miniera"
"148","122211","Sef serviciu tehnic si componente nucleare"
"149","122212","Sef serviciu termo-chimic"
"150","122213","Sef uzina, centrala electrica, gaze, apa si asimilati"
"151","122214","Sef laborator in industria prelucratoare"
"152","122215","Sef modul in industria extractiva si prelucratoare"
"153","122216","Sef centrala electrica electrica, gaze si apa"
"154","122217","Sef sectie industria extractiva si prelucratoare"
"155","122218","Sef serviciu industria extractiva si prelucratoare"
"156","122219","Sef birou industrie extractiva si prelucrare"
"157","122220","Sef atelier reparatii capitale"
"158","1223","Conducatori in constructii"
"159","122301","Ajutor sef brigada in constructii"
"160","122302","Inginer sef in constructii"
"161","122303","Conducator antrepriza constructii montaj"
"162","122304","Sef atelier in constructii"
"163","122305","Sef brigada complexa sau specializata"
"164","122306","Sef laborator in constructii"
"165","122307","Sef lot"
"166","122308","Sef santier"
"167","122309","Sef sector (sectie) drumuri-poduri"
"168","122310","Sef sectie productie, exploatare, intretinere, reparatii in constructii si lucrari publice"
"169","122311","Sef serviciu in constructii"
"170","122312","Sef birou in constructii"
"171","122313","Sef sector exploatare imbunatatiri funciare"
"172","122314","Sef sistem exploatare imbunatatiri funciare"
"173","1224","Conducatori in comertul cu ridicata si cu amanuntul"
"174","122401","Presedinte cooperativa de consum"
"175","122402","Sef baza receptie"
"176","122403","Sef serviciu comert cu ridicata si amanuntul"
"177","122404","Sef birou comert cu ridicata si amanuntul"
"178","122405","Vicepresedinte cooperativa de consum"
"179","1225","Conducatori in activitatea hoteliera si restaurante"
"180","122501","Responsabil complex hotel-restaurant"
"181","122502","Sef complex hotelier"
"182","1226","Conducatori in transporturi posta si telecomunicatii"
"183","122601","Capitan sef port"
"184","122602","Comandant pentru nave maritime"
"185","122603","Comandant coordonator grup mare pescuit oceanic"
"186","122604","Conducator (director si director adjunct) Administratia Filiala Dunarea de Jos (AFDJ)"
"187","122605","Director zbor"
"188","122606","Inginer sef transporturi"
"189","122607","Picher sef district"
"190","122608","Revizor general siguranta circulatiei"
"191","122609","Sef agentie navala"
"192","122610","Sef atelier aeroport"
"193","122611","Sef atelier telecomunicatii"
"194","122612","Sef atelier transporturi"
"195","122613","Sef autobaza"
"196","122614","Sef birou aeroport"
"197","122615","Sef birou exploatare postala"
"198","122616","Sef birou radiotelecomunicatii"
"199","122617","Sef birou, serviciu relatii internationale"
"200","122618","Sef birou, serviciu transport maritim si fluvial"
"201","122619","Sef centrala telefonica"
"202","122620","Sef centru control calitate emisie radiofonica"
"203","122621","Sef centru control calitate emisie televiziune"
"204","122622","Sef centru control local comunicatii"
"205","122623","Sef centru dirijare zbor"
"206","122624","Sef centru postal si asimilati"
"207","122625","Sef centru (sectie, sector) radiodifuziune si asimilati"
"208","122626","Sef centru (sectie, sector) telecomunicatii si asimilati"
"209","122627","Sef centru zonal interventii radiorelee"
"210","122628","Sef centru zonal de interventii translatare TV"
"211","122629","Sef coloana auto"
"212","122630","Sef depou"
"213","122631","Sef district cai ferate, poduri, drumuri"
"214","122632","Sef divizie cai ferate"
"215","122633","Sef formatie comunicatii"
"216","122634","Sef formatie operationala telecomunicatii"
"217","122635","Sef laborator aeroport"
"218","122636","Sef laborator masuratori telecomunicatii"
"219","122637","Sef laborator radio-televiziune"
"220","122638","Sef laborator telecomunicatii"
"221","122639","Sef lot telecomunicatii"
"222","122640","Sef port"
"223","122641","Sef regulator circulatie cai ferate"
"224","122642","Sef retea telecomunicatii"
"225","122643","Sef revizie locomotive, automotoare"
"226","122644","Sef revizie vagoane"
"227","122645","Sef sectie (sector) transporturi si asimilati"
"228","122646","Sef serviciu, centru, statie, aeroport si asimilati"
"229","122647","Sef serviciu control zonal comunicatii"
"230","122648","Sef serviciu exploatare postala"
"231","122649","Sef serviciu filiala Administratia Filiala Dunarea de Jos"
"232","122650","Sef serviciu informare zbor"
"233","122651","Sef serviciu statie, tura meteo"
"234","122652","Sef serviciu navigatie"
"235","122653","Sef serviciu radiotelecomunicatii si asimilati"
"236","122654","Sef statie cai ferate"
"237","122655","Sef statie comunicatii prin satelit"
"238","122656","Sef statie radiorelee"
"239","122657","Sef statie teleferic"
"240","122658","Sef statie televiziune"
"241","122659","Sef studio"
"242","122660","Sef agentie pilotaj"
"243","122661","Sef cart"
"244","122662","Telefonist sef"
"245","122663","Telegrafist sef"
"246","122664","Sef oficiu zonal posta"
"247","122665","Sef oficiu special posta"
"248","122666","Diriginte oficiu transporturi si telecomunicatii"
"249","122667","Sef turn telecomunicatii"
"250","122668","Sef garaj"
"251","122669","Comandant instructor"
"252","122670","Sef mecanic instructor"
"253","122671","Sef mecanic maritim/fluvial"
"254","122672","Sef electrician maritim"
"255","122673","Sef statie radiotelegrafie(RTG)"
"256","1227","Conducatori la firme de afaceri, intermedieri si alte servicii comerciale"
"257","122701","Inginer sef firme de afaceri si alte servicii comerciale"
"258","122702","Sef agentie comerciala"
"259","122703","Sef expozitii si targuri"
"260","122704","Sef vama si asimilati"
"261","1228","Conducatori la intreprinderi de prestari servicii pentru populatie (reparatii obiecte de uz casnic,"
"262","122801","Inginer sef intreprinderi de reparatii obiecte de uz casnic, curatatorii si alte servicii pentru pop"
"263","122802","Sef atelier reparatii obiecte de uz casnic, curatatorii si alte servicii pentru populatie"
"264","122803","Sef centru reparatii"
"265","122804","Sef centru dezinfectie, deratizare si dezinsectie"
"266","1229","Conducatori in alte activitati de productie si  servicii sociale (sanatate, cultura, invatamant, spo"
"267","122901","Antrenor federatie sportiva"
"268","122902","Asistent medical sef"
"269","122903","Biochimist sef sectie, laborator"
"270","122904","Biolog sef sectie, laborator"
"271","122905","Chimist sef sectie, laborator"
"272","122906","Comandant aeroclub"
"273","122907","Conducator tabara scolara"
"274","122908","Consilier teritorial sef inspectoratul pentru cultura"
"275","122909","Coordonator presa"
"276","122910","Director in invatamintul prescolar, primar, gimnazial,liceal si de maistri"
"277","122911","Farmacist sef sectie, laborator"
"278","122912","Farmacist diriginte"
"279","122913","Laborant medical sef"
"280","122914","Medic sef centru de recoltare singe"
"281","122914","Medic sef policlinica"
"282","122914","Medic sef statie de salvare"
"283","122915","Medic sef laborator"
"284","122915","Medic sef sectie"
"285","122916","Moasa sefa"
"286","122917","Oficiant medical sef"
"287","122918","Presedinte federatie sportiva si asimilati"
"288","122919","Presedinte complex, club sportiv si asimilati"
"289","122920","Psiholog sef sectie, laborator"
"290","122921","Redactor sef presa"
"291","122922","Secretar general agentie presa, edituri"
"292","122923","Secretar general redactie"
"293","122924","Secretar general federatie sport"
"294","122925","Secretar stiintific invatamint, cercetare"
"295","122926","Sef agentie, oficiu turism"
"296","122927","Sef atelier presa"
"297","122928","Sef birou exploatare-coordonare presa"
"298","122929","Sef birou redactie"
"299","122930","Sef birou relatii unitati presa si asimilati"
"300","122931","Sef laborator conservare-restaurare opere de arta"
"301","122932","Sef lectorat"
"302","122933","Sef oficiu juridic"
"303","122934","Sef oficiu, serviciu, sectie, redactie si asimilati"
"304","122935","Sef serviciu control tehnic presa"
"305","122936","Sef unitate balneo-climaterica"
"306","122937","Sora medicala sefa"
"307","122938","Tehnician sanitar sef"
"308","122939","Sef catedra"
"309","122940","Sef agentie concursuri hipice"
"310","122941","Sef productie film"
"311","122942","Sef sectie productie film"
"312","122943","Sef atelier productie film"
"313","122945","Librar sef"
"314","122946","Sef atelier decorator"
"315","122947","Sef oficiu interjudetean difuzare film"
"316","123","ALTI CONDUCATORI DE COMPARTIMENTE (SECTIE, SERVICIU, BIROU, LABORATOR ETC.) CU ACTIVITATI NELUCRATIV"
"317","1231","Conducatori in servicii de administratie si financiare"
"318","123101","Comisar sef divizie garda financiara"
"319","123102","Contabil sef"
"320","123103","Controlor financiar"
"321","123104","Controlor revizor financiar"
"322","123105","Procuror sef serviciu/ sef birou/ sectie"
"323","123106","Sef agentie CEC"
"324","123107","Sef birou, serviciu administrativ"
"325","123108","Sef birou, serviciu, sectie, circumscriptie financiara"
"326","123109","Sef birou, serviciu financiar-contabilitate"
"327","123111","Sef serviciu circumscriptie financiara"
"328","123112","Sef sectie financiara"
"329","123113","Sef serviciu financiar-contabilitate"
"330","1232","Conducatori in servicii de personal, pregatirea personalului si alte relatii de munca"
"331","123201","Sef birou calificare si recalificare"
"332","123202","Sef birou pensii"
"333","123203","Sef birou somaj"
"334","123204","Sef oficiu somaj"
"335","123205","Sef serviciu resurse umane"
"336","123206","Sef serviciu evaluare a resurselor de munca"
"337","1233","Conducatori in activitatea de vanzare si marketing"
"338","123301","Sef serviciu marketing"
"339","123302","Sef birou marketing"
"340","123303","Sef licitatie"
"341","123304","Director operatii tranzactii"
"342","123305","Sef casa compensatie"
"343","123306","Sef agentie bursiera"
"344","1234","Conducatori in servicii de publicitate si relatii publice"
"345","123401","Sef agentie reclama publicitara"
"346","123402","Sef birou reclama publicitara"
"347","123403","Sef serviciu reclama publicitara"
"348","1235","Conducatori in aprovizionare si desfacere"
"349","123501","Sef birou aprovizionare-desfacere"
"350","123502","Sef depozit"
"351","123503","Sef serviciu aprovizionare-desfacere"
"352","123504","Sef siloz"
"353","123505","Sef statie uscare-conditionare cereale"
"354","1236","Conducatori in informatica"
"355","123601","Director centru de calcul"
"356","123602","Sef oficiu calcul"
"357","123603","Sef atelier informatica"
"358","123604","Sef laborator informatica"
"359","123605","Director divizie informatica"
"360","123606","Director departament informatica"
"361","1237","Conducatori in cercetare-dezvoltare proiectare"
"362","123701","Arhitect sef"
"363","123702","Geolog sef"
"364","123703","Secretar stiintific si asimilati"
"365","123704","Sef formatie lucrari geologice"
"366","123705","Sef formatie cercetare-dezvoltare"
"367","123706","Meteorolog sef"
"368","123707","Director filiala cercetare-proiectare"
"369","123708","Sef atelier editie, multiplicare, expeditie"
"370","123709","Sef proiect cercetare-proiectare"
"371","123710","Sef sectie cercetare-proiectare"
"372","123711","Sef atelier cercetare-proiectare"
"373","123712","Responsabil CTE (control tehnic-economic in cercetare proiectare)"
"374","1239","Conducatori in alte activitati si servicii nelucrative"
"375","123901","Sef birou organizatie politica, obsteasca, umanitara"
"376","123902","Sef serviciu organizatie politica, obsteasca, umanitara"
"377","123903","Sef stat major aparare civila"
"378","13","CONDUCATORI DE UNITATI ECONOMICO-SOCIALE MICI (GIRANTI)"
"379","131","CONDUCATORI (SEFI DE UNITATI) DE UNITATI ECONOMICO-SOCIALE   MICI"
"380","1311","Conducatori de intreprinderi mici din agricultura, silvicultura, vanatoare, piscicultura si pescuit"
"381","131101","Conducator intreprindere mica, patron (girant) agricultura, silvicultura, vinatoare, piscicultura si"
"382","1312","Conducatori de intreprinderi mici din industria extractiva si prelucratoare"
"383","131201","Conducator intreprindere mica patron (girant) industria extractiva si prelucratoare"
"384","1313","Conducatori de intreprinderi mici din constructii"
"385","131301","Conducator intreprindere mica patron (girant) in constructii"
"386","1314","Conducatori de intreprinderi mici din comertul cu ridicata si amanuntul"
"387","131401","Conducator intreprindere mica patron (girant) in comert"
"388","1315","Conducatori de intreprinderi mici din activitatea hoteliera si restaurante"
"389","131501","Conducator intreprindere mica patron (girant) in activitatea hoteliera si restaurante"
"390","131502","Patron unitate agrement"
"391","131503","Patron unitate alimentatie publica"
"392","1316","Conducatori de intreprinderi mici din transporturi, posta si telecomunicatii"
"393","131601","Conducator intreprindere mica patron (girant) in transporturi si comunicatii"
"394","1317","Conducatori la firme mici de afaceri, intermedieri si alte servicii comerciale"
"395","131701","Conducator firma mica patron (girant) in afaceri, intermedieri si alte servicii comerciale"
"396","1318","Conducatori de intreprinderi mici de prestari servicii pentru populatie (reparatii obiecte de uz cas"
"397","131801","Conducator intreprindere mica patron (girant) in prestari servicii"
"398","1319","Conducatori de alte intreprinderi mici"
"399","131901","Conducator de intreprindere mica patron (girant) invatamint, sanatate, sport, turism, informatica, e"
"400","2","SPECIALISTI CU OCUPATII INTELECTUALE SI STIINTIFICE"
"401","21","FIZICIENI, MATEMATICIENI SI INGINERI"
"402","211","FIZICIENI, CHIMISTI SI ASIMILATI"
"403","2111","Fizicieni si astronomi"
"404","211101","Fizician"
"405","211201","Meteorolog"
"406","211202","Meteorolog aeronautic"
"407","211204","Inspector de specialitate chimist"
"408","2113","Chimisti"
"409","211301","Chimist"
"410","211302","Consilier chimist"
"411","211303","Expert chimist"
"412","211305","Referent de specialitate chimist"
"413","2114","Geologi, geofizicieni"
"414","211401","Consilier geolog"
"415","211401","Geolog"
"416","211402","Expert geolog"
"417","211402","Geofizician"
"418","211403","Hidrogeolog"
"419","211403","Inspector de specialitate geolog"
"420","211404","Hidrolog"
"421","211404","Referent de specialitate geolog"
"422","211405","Consilier geofizician"
"423","211406","Expert geofizician"
"424","211406","Pedolog"
"425","211407","Inspector de specialitate geofizician"
"426","211408","Referent de specialitate geofizician"
"427","211409","Consilier hidrogeolog"
"428","211410","Expert hidrogeolog"
"429","211411","Inspector de specialitate hidrogeolog"
"430","211412","Referent de specialitate hidrogeolog"
"431","211413","Consilier hidrolog"
"432","211414","Expert hidrolog"
"433","211415","Inspector de specialitate hidrolog"
"434","211416","Referent de specialitate hidrolog"
"435","211417","Consilier pedolog"
"436","211418","Expert pedolog"
"437","211419","Inspector de specialitate pedolog"
"438","211420","Referent de specialitate pedolog"
"439","212","MATEMATICIENI, SPECIALISTI STATISTICIENI SI ASIMILATI"
"440","2121","Matematicieni si asimilati"
"441","212101","Consilier matematican"
"442","212101","Matematician"
"443","212102","Expert matematician"
"444","212103","Inspector de specialitate matematician"
"445","212104","Referent de specialitate matematician"
"446","212105","Consilier actuar"
"447","212106","Expert actuar"
"448","212107","Inspector de specialitate actuar"
"449","212108","Referent de specialitate actuar"
"450","2122","Specialisti statisticieni"
"451","212201","Consilier statistician"
"452","212202","Expert statistician"
"453","212203","Inspector de specialitate statistician"
"454","212204","Referent de specialitate statistician"
"455","213","SPECIALISTI IN INFORMATICA"
"456","2131","Analisti, programatori, informaticieni designeri"
"457","213101","Analist"
"458","213102","Proiectant sisteme informatice"
"459","213103","Programator"
"460","213104","Consultant in informatica"
"461","213506","Inginer aviatie"
"462","2139","Specialisti in informatica neclasificati in grupele de baza  anterioare"
"463","213901","Inginer de sistem in informatica"
"464","213902","Administrator de retea de calculatoare"
"465","214","ARHITECTI, INGINERI SI ASIMILATI (EXCLUSIV INGINERI DIN INDUSTRIA TEXTILA, PIELARIE, ALIMENTARA, LEM"
"466","2141","Arhitecti in urbanistica si amenajarea teritoriului"
"467","214101","Arhitect cladiri"
"468","214102","Conductor arhitect"
"469","214103","Arhitect urbanism, peisagistica si amenajarea teritoriului"
"470","214104","Arhitect restaurari"
"471","214105","Consilier arhitect"
"472","214105","Expert arhitect"
"473","214107","Inspector de specialitate arhitect"
"474","214108","Referent de specialitate arhitect"
"475","214109","Proiectant arhitect"
"476","2142","Ingineri constructori"
"477","214201","Inginer constructii civile, industriale si agricole"
"478","214202","Subinginer constructii civile, industriale si agricole"
"479","214203","Inginer instalatii pentru constructii"
"480","214204","Inginer cai ferate, drumuri si poduri"
"481","214205","Inginer constructii hidrotehnice"
"482","214206","Inginer constructor instalatii"
"483","214207","Proiectant inginer instalatii"
"484","214208","Proiectant inginer constructii"
"485","214209","Consilier inginer constructii"
"486","214210","Inspector de specialitate inginer constructii"
"487","214211","Expert inginer constructii"
"488","214212","Referent de specialitate inginer constructii"
"489","2143","Ingineri energeticieni si electricieni"
"490","214301","Dispecer energetic feroviar"
"491","214302","Dispecer centrala, hidrocentru, cascada, dispecerate teritoriale"
"492","214303","Dispecer retea distributie"
"493","214304","Dispecer retele de inalta tensiune"
"494","214305","Inginer electroenergetica"
"495","214306","Radiochimist"
"496","214307","Subinginer electroenergetica"
"497","214308","Inginer energetica industriala"
"498","214309","Inginer termoenergetica"
"499","214310","Proiectant inginer electrotehnic"
